unit_i,county_i,unit_j,county_j,distance_km,weight_inverse_distance
350206,湖里区,350402_350403,三元区（含原梅列区）,201.94858673000897,0.00257112483631105
350206,湖里区,350421,明溪县,231.20128941984623,0.0022458137162745047
350206,湖里区,350423,清流县,217.30564366394466,0.0023894226502576272
350206,湖里区,350424,宁化县,241.1715649248707,0.002152969514300715
350206,湖里区,350425,大田县,153.31495483555366,0.0033867213251073656
350206,湖里区,350426,尤溪县,182.55788567127826,0.002844221300494242
350206,湖里区,350427,沙县,219.76507088896497,0.0023626822265208048
350206,湖里区,350428,将乐县,260.876255382629,0.001990349893047478
350206,湖里区,350429,泰宁县,283.1340022166804,0.0018338843901979508
350206,湖里区,350430,建宁县,293.58070146622094,0.0017686279254945673
350206,湖里区,350481,永安市,179.22829187345985,0.002897059507580625
350206,湖里区,350502,鲤城区,62.4863632811614,0.008309573477065884
350206,湖里区,350503,丰泽区,67.67257780671683,0.007672753777496941
350206,湖里区,350504,洛江区,86.70429479244899,0.005988573325489546
350206,湖里区,350505,泉港区,103.58957081358166,0.0050124257000142445
350206,湖里区,350521,惠安县,87.12730688976383,0.0059594981818546795
350206,湖里区,350524,安溪县,74.0243637042221,0.007014380144814766
350206,湖里区,350525,永春县,99.67182998432419,0.005209446110110595
350206,湖里区,350526,德化县,129.5099740337642,0.004009228099019415
350206,湖里区,350581,石狮市,59.56161133125792,0.008717612156455341
350206,湖里区,350582,晋江市,52.460129757368485,0.009897707638180424
350206,湖里区,350583,南安市,62.67344691699114,0.008284768949873643
350206,湖里区,350602,芗城区,52.062157255778146,0.009973367497018472
350206,湖里区,350603,龙文区,44.41201027158077,0.011691320069150316
350206,湖里区,350622,云霄县,98.83830171730328,0.005253378679902405
350206,湖里区,350623,漳浦县,61.2125279292016,0.008482496060283435
350206,湖里区,350624,诏安县,123.50703918614732,0.004204092579831516
350206,湖里区,350625,长泰县,44.631444030173306,0.011633838839012487
350206,湖里区,350626,东山县,114.02554117860329,0.004553672989686944
350206,湖里区,350627,南靖县,86.45436497225398,0.00600588561567807
350206,湖里区,350628,平和县,93.3152610490176,0.005564309858455983
350206,湖里区,350629,华安县,74.09497627218101,0.007007695435275943
350206,湖里区,350681,龙海市,34.495674831229664,0.015052177687197113
350206,湖里区,350702,延平区,230.14032980111094,0.00225616704142281
350206,湖里区,350721,顺昌县,269.52775908921313,0.0019264621527446326
350206,湖里区,350722,浦城县,388.6664400772515,0.0013359399563704004
350206,湖里区,350723,光泽县,356.7559197617929,0.001455434929702462
350206,湖里区,350724,松溪县,351.442022389032,0.0014774414951000659
350206,湖里区,350725,政和县,324.20106560996214,0.0016015833446522978
350206,湖里区,350781,邵武市,309.52263226897196,0.0016775349291687088
350206,湖里区,350782,武夷山市,361.0324410601572,0.0014381949319422084
350206,湖里区,350783,建瓯市,286.17069852774785,0.0018144241519859724
350206,湖里区,350784,建阳市,325.4000730783781,0.0015956819618610709
350206,湖里区,350802,新罗区,137.04092079965622,0.003788904977941047
350206,湖里区,350821,长汀县,219.73334968160435,0.0023630233087140328
350206,湖里区,350822,永定县,141.1638001502164,0.003678244893144769
350206,湖里区,350823,上杭县,174.04465527185005,0.002983343706753994
350206,湖里区,350824,武平县,212.50838556364127,0.002443362531893799
350206,湖里区,350825,连城县,182.53180657335866,0.002844627666525418
350206,湖里区,350881,漳平市,119.48274277419884,0.004345690557009594
350206,湖里区,350902,蕉城区,283.9902014587364,0.0018283554303365171
350206,湖里区,350921,霞浦县,320.8174591632647,0.0016184749681444313
350206,湖里区,350922,古田县,245.9098261811475,0.002111485478489794
350206,湖里区,350923,屏南县,287.7313627274235,0.0018045826568142626
350206,湖里区,350924,寿宁县,352.17960283670214,0.0014743472444660572
350206,湖里区,350925,周宁县,313.1201705734403,0.0016582611910581435
350206,湖里区,350926,柘荣县,348.64148833499104,0.0014893093460538953
350206,湖里区,350981,福安市,324.5043252451263,0.001600086613967992
350206,湖里区,350982,福鼎市,365.3987491097352,0.0014210093172582468
350211,集美区,350102,鼓楼区,204.99122530347714,0.005427049876286161
350211,集美区,350103,台江区,203.42725522927273,0.0054687736049387455
350211,集美区,350104,仓山区,199.19874320832514,0.005584862564918479
350211,集美区,350105,马尾区,218.16706564255864,0.005099292144056619
350211,集美区,350111,晋安区,214.11792288890604,0.0051957238745501825
350211,集美区,350121,闽侯县,201.6329201119844,0.005517440323262277
350211,集美区,350122,连江县,246.62999406151394,0.004510796053644259
350211,集美区,350123,罗源县,250.81929929982275,0.004435454556441983
350211,集美区,350124,闽清县,192.26243504519155,0.0057863492869082295
350211,集美区,350125,永泰县,153.59399200741362,0.007243106252940456
350211,集美区,350128,平潭县,197.14214764783907,0.005643124096985449
350211,集美区,350181,福清市,173.82585537515894,0.0064000697797340945
350211,集美区,350182,长乐市,205.37808877476314,0.005416827133604565
350211,集美区,350203,思明区,21.41042066970154,0.05196056729036199
350211,集美区,350205,海沧区,13.926456610416043,0.07988375184330174
350211,集美区,350206,湖里区,20.640742045369624,0.05389813997372991
350211,集美区,350212,同安区,15.702522444066576,0.07084833713091475
350211,集美区,350213,翔安区,27.20133087031304,0.04089864607092224
350211,集美区,350302,城厢区,128.25833970366907,0.008673881218900255
350211,集美区,350303,涵江区,150.0092549455955,0.007416193116394442
350211,集美区,350304,荔城区,135.14737269440846,0.008231736819912386
350211,集美区,350305,秀屿区,141.32034530354798,0.007872168735035307
350211,集美区,350322,仙游县,111.62269974197046,0.009966589291377635
350211,集美区,350402_350403,三元区（含原梅列区）,182.289354907238,0.006102921393786836
350211,集美区,350421,明溪县,210.9610132268861,0.005273474880055235
350211,集美区,350423,清流县,196.67324568732144,0.005656578250056821
350211,集美区,350424,宁化县,220.55932834147427,0.0050439834591833425
350211,集美区,350425,大田县,134.31134015085163,0.008282975977110224
350211,集美区,350426,尤溪县,165.93925624824138,0.006704246054102549
350211,集美区,350427,沙县,201.17933143799533,0.005529880211704861
350211,集美区,350428,将乐县,241.1998523389916,0.004612347781869439
350211,集美区,350429,泰宁县,263.0935316494448,0.0042285251064450935
350211,集美区,350430,建宁县,273.11274011762265,0.004073400616331043
350211,集美区,350481,永安市,158.71657618143672,0.007009334693883727
350211,集美区,350502,鲤城区,61.13916227804311,0.0181961538639288
350211,集美区,350503,丰泽区,66.24294595681674,0.01679420484481793
350211,集美区,350504,洛江区,81.54492789593499,0.013642756608267748
350211,集美区,350505,泉港区,100.65228842399621,0.01105287938647361
350211,集美区,350521,惠安县,87.31799691851707,0.012740759559122027
350211,集美区,350524,安溪县,54.41182825354904,0.020445878031132337
350211,集美区,350525,永春县,83.1005236106815,0.013387371770783725
350211,集美区,350526,德化县,113.95985669592041,0.00976218851249933
350211,集美区,350581,石狮市,65.0323616105745,0.017106830758889247
350211,集美区,350582,晋江市,54.3634046628244,0.020464089966825586
350211,集美区,350583,南安市,53.91914857141007,0.020632699762489787
350211,集美区,350602,芗城区,40.94987541601152,0.027167301307295166
350211,集美区,350603,龙文区,35.37694743457743,0.03144696432557742
350211,集美区,350622,云霄县,101.04995092551059,0.01100938292135408
350211,集美区,350623,漳浦县,65.90136785203929,0.01688125209207715
350211,集美区,350624,诏安县,125.07607999611034,0.008894567242254322
350211,集美区,350625,长泰县,26.273758921865124,0.042342536796178006
350211,集美区,350626,东山县,121.69034335265059,0.009142036855784352
350211,集美区,350627,南靖县,73.05423501325664,0.01522837935023352
350211,集美区,350628,平和县,88.49527657423927,0.012571265348718387
350211,集美区,350629,华安县,55.091984125265895,0.020193456844709613
350211,集美区,350681,龙海市,35.2405130718279,0.03156871188723813
350211,集美区,350702,延平区,213.65222783935448,0.005207048927940377
350211,集美区,350721,顺昌县,251.2511319559493,0.004427831211196426
350211,集美区,350722,浦城县,372.78120493229073,0.002984317849729173
350211,集美区,350723,光泽县,337.45835157168233,0.003296696018165279
350211,集美区,350724,松溪县,336.73600294776486,0.003303767919629185
350211,集美区,350725,政和县,310.70469304395016,0.0035805626011758303
350211,集美区,350781,邵武市,290.3160984023553,0.003832021751618988
350211,集美区,350782,武夷山市,343.58809544297355,0.0032378816922882274
350211,集美区,350783,建瓯市,270.57097397448524,0.004111666479154162
350211,集美区,350784,建阳市,308.1798943934254,0.0036098967653702906
350211,集美区,350802,新罗区,117.95080130444197,0.009431878305358217
350211,集美区,350821,长汀县,200.39835798365,0.005551430735843405
350211,集美区,350822,永定县,127.46359557457306,0.008727963454256343
350211,集美区,350823,上杭县,156.8042101336771,0.0070948197307621344
350211,集美区,350824,武平县,196.34160407665203,0.005666132805396983
