"province_year","province_cn","distcode","county_cn","county_en","year_month","year","month","co2_million_tons","co2_10000_tons"
"福建省2013","福建省","350504","洛江区","Luojiang District","201303","2013","3","0.199926309322363","19.9926309322363"
"福建省2013","福建省","350505","泉港区","Quangang District","201303","2013","3","0.199926309322363","19.9926309322363"
"福建省2013","福建省","350521","惠安县","Hui'an County","201303","2013","3","0.199926309322363","19.9926309322363"
"福建省2013","福建省","350524","安溪县","Anxi County","201303","2013","3","0.199926309322363","19.9926309322363"
"福建省2013","福建省","350525","永春县","Yongchun County","201303","2013","3","0.199926309322363","19.9926309322363"
"福建省2013","福建省","350526","德化县","Dehua County","201303","2013","3","0.187340437272533","18.7340437272533"
"福建省2013","福建省","350527","金门县","Kinmen County","201303","2013","3","0.193170717045267","19.3170717045267"
"福建省2013","福建省","350581","石狮市","Shishi City","201303","2013","3","0.272952637419142","27.2952637419142"
"福建省2013","福建省","350582","晋江市","Jinjiang City","201303","2013","3","0.195347146637126","19.5347146637126"
"福建省2013","福建省","350583","南安市","Nan'an City","201303","2013","3","0.199926309322363","19.9926309322363"
"福建省2013","福建省","350602","芗城区","Xiangcheng District","201303","2013","3","0.159072895870674","15.9072895870674"
"福建省2013","福建省","350603","龙文区","Longwen District","201303","2013","3","0.155598785914074","15.5598785914074"
"福建省2013","福建省","350622","云霄县","Yunxiao County","201303","2013","3","0.157663060662681","15.7663060662681"
"福建省2013","福建省","350623","漳浦县","Zhangpu County","201303","2013","3","0.158847008358135","15.8847008358135"
"福建省2013","福建省","350624","诏安县","Zhao'an County","201303","2013","3","0.159095401424133","15.9095401424133"
"福建省2013","福建省","350625","长泰县","Changtai County","201303","2013","3","0.160778578041482","16.0778578041482"
"福建省2013","福建省","350626","东山县","Dongshan County","201303","2013","3","0.149276111716768","14.9276111716768"
"福建省2013","福建省","350627","南靖县","Nanjing County","201303","2013","3","0.125738225717442","12.5738225717442"
"福建省2013","福建省","350628","平和县","Pinghe County","201303","2013","3","0.137704856941588","13.7704856941588"
"福建省2013","福建省","350629","华安县","Hua'an County","201303","2013","3","0.133632113190379","13.3632113190379"
"福建省2013","福建省","350681","龙海市","Longhai  City","201303","2013","3","0.156210319948368","15.6210319948368"
"福建省2013","福建省","350702","延平区","Yanping District","201303","2013","3","0.151490184646008","15.1490184646008"
"福建省2013","福建省","350721","顺昌县","Shunchang County","201303","2013","3","0.0901549005733039","9.01549005733039"
"福建省2013","福建省","350722","浦城县","Pucheng County","201303","2013","3","0.091004796291816","9.1004796291816"
"福建省2013","福建省","350723","光泽县","Guangze County","201303","2013","3","0.135659717685954","13.5659717685954"
"福建省2013","福建省","350724","松溪县","Songxi County","201303","2013","3","0.113771260969093","11.3771260969093"
"福建省2013","福建省","350725","政和县","Zhenghe County","201303","2013","3","0.1141005547285","11.41005547285"
"福建省2013","福建省","350781","邵武市","Shaowu City","201303","2013","3","0.0948784572475642","9.48784572475642"
"福建省2013","福建省","350782","武夷山市","Wuyishan City","201303","2013","3","0.159167238322459","15.9167238322459"
"福建省2013","福建省","350783","建瓯市","Jian'ou City","201303","2013","3","0.160008269077625","16.0008269077625"
"福建省2013","福建省","350784","建阳市","Jianyang City","201303","2013","3","0.0928584724972272","9.28584724972272"
"福建省2013","福建省","350802","新罗区","Xinluo District","201303","2013","3","0.147980231832955","14.7980231832955"
"福建省2013","福建省","350821","长汀县","Changting County","201303","2013","3","0.127108158053211","12.7108158053211"
"福建省2013","福建省","350822","永定县","Yongding County","201303","2013","3","0.127108158053211","12.7108158053211"
"福建省2013","福建省","350823","上杭县","Shanghang County","201303","2013","3","0.126892990045188","12.6892990045188"
"福建省2013","福建省","350824","武平县","Wuping County","201303","2013","3","0.126892990045188","12.6892990045188"
"福建省2013","福建省","350825","连城县","Liancheng County","201303","2013","3","0.12188509390937","12.188509390937"
