"year","unit_id","county_cn","co2_million_tons","gdp_100m_yuan","primary_industry_100m_yuan","secondary_industry_100m_yuan","tertiary_industry_100m_yuan","industry_100m_yuan","construction_100m_yuan","resident_population_10k","urban_population_10k","rural_population_10k","fixed_asset_investment_100m_yuan","real_estate_development_100m_yuan","budget_revenue_10k_yuan","vat_10k_yuan","enterprise_income_tax_10k_yuan","individual_income_tax_10k_yuan","budget_expenditure_10k_yuan","general_public_service_exp_10k_yuan","education_exp_10k_yuan","science_technology_exp_10k_yuan","agri_forestry_water_exp_10k_yuan","retail_sales_100m_yuan","fixed_asset_investment_growth_pct","real_estate_development_growth_pct","industrial_va_growth_pct","light_industry_growth_pct","heavy_industry_growth_pct","retail_sales_growth_pct","per_capita_gdp_yuan","urbanization_rate_pct","co2_ton_per_10000_yuan","secondary_industry_share","tertiary_industry_share","industry_share","budget_revenue_gdp_ratio","budget_expenditure_gdp_ratio","co2_per_capita_ton","retail_per_capita_yuan"
"2019","350105","马尾区","2.94717255606927","576.26","5.76","339.14","231.36","230.05","109.53","26.2","20.54","5.66",,,"228435","63307","36604","1573","346398","47033","81770","22741","12915","1892825",,,"5.2","4.1","13","11.6","219946.564885496","78.3969465648855","0.511431047802948","0.58851907125256","0.401485440599729","0.399212161177246","0.039640960677472","0.0601114080449797","11.2487502140048","722452290.076336"
"2020","350105","马尾区","2.86644163123332","604.96","9.89","354.87","240.19","226.44","128.92","29.2","25.67","3.53",,,"209996","57735","30359","1555","401156","48490","73797","17105","13774","1827604",,,"6.2","6.5","5.9","-3.4","207178.082191781","87.9109589041096","0.473823332325","0.586600766992859","0.397034514678656","0.374305739222428","0.034712377677863","0.0663111610685004","9.81658092888123","625891780.821918"
"2021","350105","马尾区","3.3527724484078","639.84","13.05","362.24","264.54","240.01","122.67","29.6","26.08","3.52","144.18","27.15","229543","64909","39332","1615","275888","37176","59056","4296","6840","204.14","-28.4","-69.8","6.4","2.1","10.5","9.4","216162.162162162","88.1081081081081","0.524001695487591","0.566141535383846","0.413447111777945","0.375109402350588","0.0358750625156289","0.0431182795698925","11.3269339473236","68966.2162162162"
"2013","350111","晋安区","2.45880966286698","401.38","4.74","150.16","96.88","53.28","246.48","82.7","81.7","0.96","350.94","202.29",,,,,,,,,,"4368714","15.9","42.1",,,,"14","48534.4619105199","98.7908101571947","0.612588983722901","0.374109322836215","0.241367282874084","0.132742039962131",,,"2.97316766973033","528260459.49214"
"2014","350111","晋安区","2.57505028737052","447.04","4.73","167.16","275.15","107.46","60.07","83.6","82.76","0.84","415.74","251.88",,,,,,,,,,"4962205","18.5","24.5",,,,"13.6","53473.6842105263","98.9952153110048","0.576022344168423","0.373926270579814","0.615493020758769","0.240381173944166",,,"3.08020369302694","593565191.38756"
"2015","350111","晋安区","2.68250070442909","499.75","4.05","177.01","318.69","113.08","64.33","84.3","83.59","0.71","484.32","358","231138","29004","50389","38722","299836","18757","44570","3506","15055","5863142","16.5","42.1","104.94","57.07","47.87","13.8","59282.325029656","99.1577698695136","0.536768525148392","0.354197098549275","0.637698849424712","0.226273136568284","0.0462507253626813","0.0599971985992996","3.18208861735361","695509134.045077"
"2016","350111","晋安区","2.99714370591382","553.73","5.12","189.69","358.93","121.31","68.83","85.5","84.9","0.6","560.62","348.32","250525","47569","18415","53540","305409","23395","60997","4124","15215","6357812","15.8","-2.7",,,,"13.6","64763.7426900585","99.2982456140351","0.541264462086905","0.342567677387897","0.64820399833854","0.219077889946364","0.0452431690535098","0.0551548588662344","3.50543123498692","743603742.690058"
"2017","350111","晋安区","3.10160037782454","642.62","5.32","213.94","423.36","137.23","77.22","86.6","86.17","0.43","659.89","407.15","281456","64933","94","49021","343262","29122","59076","3302","13550","7200933","17.7","16.9","7.9","10","5.6","12","74205.5427251732","99.5034642032333","0.482649213816025","0.332918365441474","0.658803025115932","0.213547664249479","0.0437982011141888","0.0534160156857863","3.58152468570963","831516512.702079"
"2018","350111","晋安区","3.04681252164675","717.72","5.75","233.32","478.65","145.28","88.58","87.7","87.26","0.44",,,"304565","71744","62","39146","368916","32551","61431","7092","14991","1992880",,,"8.6","9.7","6.9","11.4","81838.0843785633","99.4982896237172","0.424512695988233","0.325084991361534","0.666903527838154","0.20241877055119","0.0424350721729922","0.0514011034943989","3.47413058340564","227238312.428734"
"2019","350111","晋安区","3.36019911874238","884.8","7.38","261.76","615.67","171.64","90.42","87","86.39","0.61",,,"242515","73764","45911",,"315252","33467","64786","7371","16006","8944672",,,"8.7","8.3","9.4","11.7","101701.149425287","99.2988505747126","0.379769339821698","0.295840867992767","0.695829566003617","0.193987341772152","0.0274090189873418","0.035629746835443","3.86229783763492","1028123218.3908"
