"year","unit_id","county_cn","co2_million_tons","gdp_100m_yuan","primary_industry_100m_yuan","secondary_industry_100m_yuan","tertiary_industry_100m_yuan","industry_100m_yuan","construction_100m_yuan","resident_population_10k","urban_population_10k","rural_population_10k","fixed_asset_investment_100m_yuan","real_estate_development_100m_yuan","budget_revenue_10k_yuan","vat_10k_yuan","enterprise_income_tax_10k_yuan","individual_income_tax_10k_yuan","budget_expenditure_10k_yuan","general_public_service_exp_10k_yuan","education_exp_10k_yuan","science_technology_exp_10k_yuan","agri_forestry_water_exp_10k_yuan","retail_sales_100m_yuan","fixed_asset_investment_growth_pct","real_estate_development_growth_pct","industrial_va_growth_pct","light_industry_growth_pct","heavy_industry_growth_pct","retail_sales_growth_pct","per_capita_gdp_yuan","urbanization_rate_pct","co2_ton_per_10000_yuan","secondary_industry_share","tertiary_industry_share","industry_share","budget_revenue_gdp_ratio","budget_expenditure_gdp_ratio","co2_per_capita_ton","retail_per_capita_yuan"
"2016","350583","南安市","2.51993286485324","898.14","28.17","541.28","328.69","499.31","42.16","148.9","84.58","64.32","558.17","516.1","384721","108518","22878","46951","661270","42737","155763","12554","68806","3854668","12","12.1",,,,"10.6","60318.3344526528","56.8032236400269","0.28057239014555","0.602667735542343","0.365967443828356","0.555937827064823","0.0428353040728617","0.073626606097045","1.69236592669794","258876292.813969"
"2017","350583","南安市","2.59010554329719","977.38","26.73","576.41","374.25","529.58","46.92","149.9","87.84","62.06","659.07","609","410996","146104","217","44569","741801","46264","171031","14257","77613","4403008","18.1","18","8.8","9.1","8.6","12.3","65202.1347565043","58.5990660440294","0.265004966675928","0.589750148355808","0.382911457160981","0.541836337964763","0.0420507888436432","0.0758968875974544","1.72788895483468","293729686.457638"
"2018","350583","南安市","2.67642855206887","1067.82","27.5","612.81","427.52","560.3","52.57","150.8","90.18","60.62",,,"459874","173841","1164","48146","681769","48615","189293","16041","78435","5142052",,,"10","8.2","11","12.4","70810.3448275862","59.8010610079576","0.250644167750077","0.573888857672641","0.400367103069806","0.524713903092281","0.0430666217152704","0.0638468093873499","1.77481999474063","340984880.636605"
"2019","350583","南安市","2.84697407569605","1295.44","30.55","770.36","494.53","711.44","59.56","151","91.36","59.64",,,"500506","196356","54787","46983","793271","60864","203612","17989","81150","7733795",,,"6.3","4.9","7.2","9.6","85790.7284768212","60.5033112582781","0.219768887458782","0.59467053665164","0.381746742419564","0.549187920706478","0.0386359846847403","0.0612356419440499","1.88541329516295","512171854.304636"
"2020","350583","南安市","2.85512175326947","1352.72","36.49","791.4","524.84","730.38","61.65","151.9","93.78","58.12",,,"530451","174381","51484","53708","895042","66106","221647","19721","93636","7383970",,,"6.2","0.7","9.2","-4.5","89053.3245556287","61.7379855167874","0.211065242863968","0.585043467975634","0.387988645100243","0.539934354485777","0.0392136584067656","0.0661660949790053","1.87960615751776","486107307.439105"
"2021","350583","南安市","3.12667590525491","1536.36","33.44","919.15","583.77","858.15","61.58","152.7","97.12","55.58","445.96","125.98","586235","181185","68922","75727","923609","61130","253645","23293","80908","814.98","14.4","5.5","13","7.8","15.7","10.4","100612.966601179","63.6018336607728","0.203511931139506","0.598264729620662","0.37996953838944","0.558560493634304","0.0381573980056758","0.0601167044182353","2.04759391306805","53371.3163064833"
"2013","350602","芗城区","1.89215028102631","386.04","7.66","178.54","139.88","38.66","199.84","58.2","51.8","6.4","136.73","95.88",,,,,,,,,,"1726058","20.1","22.7",,,,"10.7","66329.8969072165","89.0034364261168","0.49014358124192","0.462490933582012","0.362345870894208","0.100145062687804",,,"3.25111732135105","296573539.5189"
"2014","350602","芗城区","2.04364160412851","419.33","7.28","192.15","219.9","152.72","39.43","58.44","52.54","5.9","139.45","96.57",,,,,,,,,,"1518142","2","0.7",,,,"7.5","71753.9356605065","89.9041752224504","0.487358787620373","0.458230987527723","0.524407984165216","0.364200033386593",,,"3.49699110904947","259777891.854894"
"2015","350602","芗城区","1.98744754098375","464.18","8.04","204.54","251.6","165.63","38.91","58.8","53.01","5.79","177.95","140.9","137639","17014","24931","16725","187906","16167","33129","2582","8325","1670199","27.6","45.9","171.46","46.45","125.02","9.7","78942.1768707483","90.1530612244898","0.428163113659302","0.440648024473265","0.542031108621655","0.356822784264725","0.0296520746262226","0.0404812788142531","3.3800128248023","284047448.979592"
"2016","350602","芗城区","1.98793726226907","526","9.18","227.08","289.74","184.46","42.67","59.1","53.66","5.44","188.3","122.56","139302","31696","11264","16609","182008","19093","34353","2737","7100","1838929","5.8","-13",,,,"10.5","89001.6920473773","90.7952622673435","0.377934840735565","0.43171102661597","0.550836501901141","0.350684410646388","0.0264832699619772","0.0346022813688213","3.36368403091213","311155499.153976"
"2017","350602","芗城区","2.37658874156264","592.44","8.02","257.43","326.99","214.56","42.87","59.7","54.27","5.43","236.21","147.64","151367","53707","86","18804","220659","22166","38919","1386","5806","2008466","25.4","20.5","7.7","9.9","6.9","9.3","99236.1809045226","90.9045226130653","0.401152646945284","0.434525015191412","0.55193774897036","0.362163257038687","0.0255497603132807","0.0372457970427385","3.98088566425903","336426465.661642"
"2018","350602","芗城区","2.71414923582519","642.63","9.41","282.11","351.11","232.51","49.6","60.04","54.64","5.4",,,"168249","64298","4","20573","238147","25658","45878","4145","8747","2236622",,,"9.3","8.3","10.6","11.4","107033.644237175","91.0059960026649","0.422350222651478","0.438992888598416","0.5463641597809","0.361810061777384","0.0261813173988142","0.0370581827801379","4.520568347477","372521985.343105"
"2019","350602","芗城区","2.90154433222313","771.36","11.21","335.27","424.87","250.04","85.23","60.23","54.93","5.3",,,"160635","61862","18330","7541","259006","31574","48351","5521","12541","3244944",,,"9.1","-7.8","15.5","10","128069.06857048","91.200398472522","0.376159553544795","0.434647894627671","0.55080636797345","0.324154739680564","0.0208249066583696","0.0335778365484339","4.81744036563694","538758758.093973"
"2020","350602","芗城区","1.97188865360111","752.46","11.82","307.54","433.1","214.38","93.29","64","57.22","6.78",,,"154088","57037","17570","5785","270931","24453","52467","4659","11069","2964609",,,"-12.2","1.8","-20.5","-5.3","117571.875","89.40625","0.262058933843807","0.408712755495309","0.575578768306621","0.284905509927438","0.0204778991574303","0.0360060335433113","3.08107602125173","463220156.25"
"2021","350602","芗城区","1.89336883617494","827.34","12.89","374.63","439.82","264.51","110.28","64.2","58.23","5.97","300.09","75.11","188736","53832","16704","6701","245193","29143","56265","1650","9860","313.29","8.1","-26.1","10","4.8","18.7","5.7","128869.158878505","90.7009345794392","0.228850150624283","0.452812628423623","0.53160731984432","0.319711364130829","0.0228123866850388","0.0296363043005294","2.94917264201704","48799.0654205607"
"2013","350603","龙文区","1.86718543096889","128.44","4.7","71.34","53.96","17.38","52.4","18.5","15.6","2.9","135.05","58.76",,,,,,,,,,"747232","-6.6","-14.5",,,,"30.1","69427.027027027","84.3243243243243","1.45374138194401","0.555434444098412","0.420118343195266","0.135316100903145",,,"10.0928942214535","403909189.189189"
"2014","350603","龙文区","2.02325757599326","146.54","4.85","80.83","60.86","59.84","20.99","18.56","15.8","2.77","166.4","71.78",,,,,,,,,,"786633","23.2","22.2",,,,"25.5","78954.7413793103","85.1293103448276","1.38068621263359","0.551590009553706","0.415313225058005","0.408352668213457",,,"10.9011722844464","423832435.344828"
"2015","350603","龙文区","2.02306102822152","165.06","4.7","88.19","72.17","65.79","22.4","18.7","16.12","2.58","207.4","79.92","96449","8139","22906","11972","124734","11931","29708","2789","7493","987916","24.6","11.3","71.92","44.84","27.08","20","88267.3796791444","86.2032085561497","1.22565190126107","0.534290561008118","0.437234944868533","0.398582333696838","0.0584326911426148","0.0755688840421665","10.8185081723076","528297326.203209"
"2016","350603","龙文区","1.9934039287039","190.8","5.63","96.28","88.89","73.53","22.75","19.1","16.85","2.25","243.07","133.94","105394","20266","17408","13488","168406","15526","32823","3520","7105","1162837","17.2","67.6",,,,"18.2","99895.2879581152","88.2198952879581","1.04476096892238","0.50461215932914","0.465880503144654","0.385377358490566","0.0552379454926625","0.0882631027253669","10.4366697837901","608815183.246073"
"2017","350603","龙文区","2.04976774644158","222.38","6.27","113.07","103.05","86.38","26.69","19.3","17.18","2.12","261.25","127.68","93265","31116","115","17102","174660","17390","30347","4634","8364","1338933","7.5","-4.7","9.2","11.4","6.2","15.1","115222.797927461","89.0155440414508","0.921741049753386","0.50845399766166","0.463395988847918","0.388434211709686","0.0419394729741883","0.0785412357226369","10.620558271718","693747668.393782"
"2018","350603","龙文区","2.11825816732082","246.27","6.68","123.54","116.05","93.38","30.16","19.48","17.53","1.95",,,"102854","30784","36","18021","164137","16548","33838","7242","12424","1541992",,,"9.5","16.9","-3.2","15.1","126421.971252567","89.9897330595483","0.860136503561465","0.501644536484346","0.471230762983717","0.379177325699436","0.0417647297681407","0.0666492061558452","10.8740152326531","791577002.053388"
"2019","350603","龙文区","2.25236839512202","361.36","6","138.3","217.05","100.8","37.5","19.56","17.62","1.94",,,"115252","32633","14956","3869","153401","21626","37713","5208","5123","2341258",,,"9.7","7.4","13.9","4.7","184744.376278119","90.0817995910021","0.623303186606714","0.382720832410892","0.600647553686075","0.278946203232234","0.0318939561655966","0.0424510183750277","11.5151758441821","1196962167.68916"
"2020","350603","龙文区","2.25918244079459","349.07","5.95","116.42","226.7","76.73","40.01","30.5","27.73","2.77",,,"114745","34581","11796","2759","158341","20130","44514","5072","9288","2211338",,,"-23.8","-14.6","-39.7","-5.5","114449.180327869","90.9180327868852","0.647200401293319","0.333514767811614","0.649439940413098","0.219812645028218","0.0328716303320251","0.0453608158822013","7.40715554358882","725028852.459016"
"2021","350603","龙文区","2.4732387187699","375.89","5.12","137.66","233.1","91.14","46.83","30.62","28.11","2.51","237.46","123.81","138891","35382","19430","2831","155658","19375","61597","4840","4069","235.24","7.6","-10.5","10.6","7.1","19.9","6.4","122759.634225996","91.8027433050294","0.657968745848493","0.366224161323792","0.620128229003166","0.242464550799436","0.0369499055574769","0.041410519034824","8.07720025724984","76825.6041802743"
"2013","350622","云霄县","1.89949207324245","120.95","24.35","56.39","49.58","6.81","40.21","41.3","18.8","22.5","115.53","86.56",,,,,,,,,,"494040","57.7","31.2",,,,"12.5","29285.7142857143","45.5205811138015","1.57047711719095","0.466225713104589","0.409921455146755","0.0563042579578338",,,"4.59925441463063","119622276.029056"
"2014","350622","云霄县","2.04928431482674","136.09","23.74","66.36","45.99","57.55","8.81","41.56","19.08","22.49","149.67","128.5",,,,,,,,,,"459879","29.5","48.4",,,,"13.3","32745.4282964389","45.9095283926853","1.50583019680119","0.487618487765449","0.33793812917922","0.422881916378867",,,"4.93090547359658","110654234.841193"
"2015","350622","云霄县","2.25026621882975","157.56","28.99","74.41","54.16","64.12","10.29","41.9","19.64","22.26","196.12","171.14","55300","3821","16250","4552","230201","9124","53810","783","50608","536598","31","33.2","73.07","39.64","33.44","14.1","37603.8186157518","46.873508353222","1.42819638158781","0.472264534145722","0.343742066514344","0.406956080223407","0.0350977405432851","0.146103706524499","5.3705637680901","128066348.448687"
"2016","350622","云霄县","2.79259624911229","179.72","30.13","83.29","66.31","72.23","11.06","42","20.24","21.76","245.44","233.48","57556","10273","5973","4740","252406","11809","58597","879","38132","618267","25.1","36.4",,,,"15.4","42790.4761904762","48.1904761904762","1.55385947535738","0.463443133763632","0.368962831070554","0.401902960160249","0.0320253728021367","0.140444024037392","6.64903868836259","147206428.571429"
"2017","350622","云霄县","2.61224210354778","200.46","26.81","97.79","75.87","84.99","12.8","42.4","21.62","20.78","309.72","303.04","61800","16917","22","5248","307561","19473","66075","979","40260","709035","26.2","29.8","9.6","15.7","3.1","14.6","47278.3018867925","50.9905660377359","1.30312386688007","0.487827995610097","0.37847949715654","0.423974857826998","0.0308290930859024","0.153427616482091","6.16094835742401","167225235.849057"
"2018","350622","云霄县","2.75700224504355","230.11","37.32","105.66","87.12","91.88","13.78","42.78","22.29","20.49",,,"66418","17473","10","6167","260909","20412","69721","1065","31377","812572",,,"9.5","14.3","3.2","14.6","53789.1538101917","52.1037868162693","1.19812361263898","0.459171700491069","0.378601538394681","0.399287297379514","0.0288635869801399","0.113384468297771","6.44460552838604","189942028.985507"
"2019","350622","云霄县","3.17529087725491","260.72","37.32","124.3","99.09","109.52","14.78","41.23","21.73","19.5",,,"67748","15376","7321","2176","264443","22482","70165","1565","35521","1317119",,,"5.2","1","10.3","11.4","63235.5081251516","52.7043414989086","1.21789309498884","0.476756673826327","0.380062902730899","0.420067505369745","0.0259849647131022","0.101427968702056","7.7014088703733","319456463.739995"
"2020","350622","云霄县","3.15197151979281","231.65","38.6","98.91","94.14","86.25","12.71","41.1","22.44","18.66",,,"68800","18935","7713","2200","284228","21497","71129","1775","44939","1134291",,,"-20","-14","-26.2","-14.4","56362.5304136253","54.5985401459854","1.36066113524404","0.426980358299158","0.406388948845241","0.372328944528383","0.0296999784157134","0.12269717245845","7.66903046178299","275983211.678832"
"2021","350622","云霄县","3.48673369183162","236.75","44.82","93.76","98.17","79.2","14.59","41.19","22.78","18.41","155.15","32.23","78686","17767","6729","2473","253816","24572","71774","859","29499","112.01","15.1","107","-13.7","-7.2","-21.2","-1.3","57477.5430929837","55.3046856033018","1.47274918345581","0.396029567053854","0.414656810982049","0.334530095036959","0.0332359028511088","0.107208447729673","8.46500046572377","27193.4935663996"
"2013","350623","漳浦县","1.87612801199419","259.8","59.77","109.33","81.84","27.49","90.7","80.7","37.8","42.9","185.44","124.32",,,,,,,,,,"909742","10.7","-10.9",,,,"12.6","32193.3085501859","46.8401486988848","0.722143191683676","0.420823710546574","0.315011547344111","0.105812163202463",,,"2.32481785872886","112731350.681537"
"2014","350623","漳浦县","2.04720661426062","311.83","60.09","144.52","107.22","111.45","33.07","81.22","38.58","42.64","280","177.74",,,,,,,,,,"858198","51","43",,,,"11.7","38393.252893376","47.5006156119182","0.656513681897386","0.463457653208479","0.343841195523202","0.35740627906231",,,"2.52056958170478","105663383.403103"
"2015","350623","漳浦县","1.98487331691364","318.76","62.3","129.12","127.34","101.39","27.74","81.9","39.77","42.13","324.06","235.25","219386","17387","72058","25447","479862","20910","84192","7935","51692","926219","15.7","32.4","113.95","68.95","45.01","12.2","38920.6349206349","48.5592185592186","0.622685819084465","0.405069644873886","0.399485506337056","0.318076295645627","0.0688248211820806","0.150540218346091","2.4235327434843","113091452.991453"
"2016","350623","漳浦县","1.72809661084297","342.79","74.43","120.09","148.27","89.09","31","82.77","41.63","41.14","365.94","302.21","194856","30679","26492","17432","507436","19796","93140","7023","64120","1030874","12.9","28.5",,,,"11.4","41414.7638033104","50.2960009665338","0.504126903014373","0.350331106508358","0.432538872195805","0.259896729776248","0.0568441319758453","0.148031156101403","2.08782966152346","124546816.479401"
"2017","350623","漳浦县","1.800717366558","376.51","69.8","140.44","166.26","105.08","35.4","83.7","43.36","40.34","379.28","352.07","199737","49228","496","23115","571957","22124","96283","7580","54004","1139894","3.6","16.5","9.9","11.3","7.2","12","44983.2735961768","51.8040621266428","0.478265482074314","0.373004701070357","0.441581896895169","0.279089532814533","0.0530495869963613","0.151910175028552","2.15139470317563","136188052.568698"
"2018","350623","漳浦县","1.8535011668613","438.13","75.85","174.79","187.49","134.78","40.03","84.37","45.14","39.23",,,"212871","51097","58","31724","494110","39839","103042","7611","52049","1303431",,,"9.7","2.6","24.7","14.3","51929.5958279009","53.5024297736162","0.423048220131308","0.398945518453427","0.427932348846233","0.307625590578139","0.0485862643507635","0.112777029648734","2.19687230871317","154489866.066137"
"2019","350623","漳浦县","1.95753376374264","520.3","83.68","188.57","248.05","158.35","34.3","86.05","46.98","39.07",,,"260106","60927","29382","4134","573275","38275","116910","8244","60876","2491007",,,"10.6","2","19.5","12.3","60464.846019756","54.596165020337","0.376231743944386","0.362425523736306","0.476744186046512","0.304343647895445","0.0499915433403806","0.110181625985009","2.27487944653415","289483672.283556"
"2020","350623","漳浦县","1.98825863948524","495.61","88.76","157.44","249.41","121.66","35.89","84.9","46.52","38.38",,,"326714","57049","26216","4271","636329","56215","139582","2441","64573","2437758",,,"-25.7","-49.4","-14.8","-2.1","58375.7361601885","54.793875147232","0.401174035932536","0.317669135005347","0.503238433445653","0.245475272896027","0.0659215915740199","0.128393091341983","2.34188296759157","287132862.190813"
"2021","350623","漳浦县","2.17749490459868","583.61","97.84","223.15","262.62","181.5","41.76","85","48.03","36.98","319.68","57.61","366346","18248","26972","5209","562539","49650","133626","829","33955","258.39","17.1","5.5","25.5","35.9","14.8","6","68660","56.5058823529412","0.373107881050475","0.382361508541663","0.449992289371327","0.310995356488066","0.0627723993762958","0.096389540960573","2.56175871129256","30398.8235294118"
"2013","350624","诏安县","1.89009227726573","149.81","36.41","64.72","55.97","8.75","48.68","59.8","23.6","36.2","111.24","107.39",,,,,,,,,,"703289","51.5","50.8",,,,"13.9","25051.8394648829","39.4648829431438","1.26165962036295","0.432013884253388","0.373606568319872","0.0584073159335158",,,"3.16068942686577","117606856.187291"
"2014","350624","诏安县","2.0292310226289","166.29","35.65","74.21","56.43","63.85","10.36","60.19","24.38","35.81","148.27","137.34",,,,,,,,,,"673081","33.3","27.9",,,,"12.9","27627.512875893","40.5050672869247","1.22029648363034","0.446268566961333","0.339346924048349","0.383967767153768",,,"3.37137568139043","111826050.83901"
"2015","350624","诏安县","2.11588620741146","189.2","39.28","83.54","66.38","70.84","12.7","60.7","25.17","35.53","192.78","178.73","58796","4764","10773","4285","271468","16879","44324","4445","69406","814379","30","30.1","77.61","53.57","24.04","16.7","31169.686985173","41.4662273476112","1.11833309059802","0.44154334038055","0.350845665961945","0.374418604651163","0.0310761099365751","0.143482029598309","3.48580923791015","134164579.901153"
"2016","350624","诏安县","2.36511766373618","220.66","44.46","93.94","82.26","79.9","14.04","61.41","26.16","35.25","243.89","232.74","57364","11146","5725","4719","275299","17491","47172","3057","63327","939607","26.5","30.2",,,,"13.4","35932.2585898062","42.5989252564729","1.07183796960762","0.425722831505484","0.372790718752832","0.362095531587057","0.0259965557871839","0.124761624218254","3.8513559090314","153005536.557564"
"2017","350624","诏安县","1.93908214412019","249.55","45.37","108.7","95.48","92.87","15.83","62","27.53","34.47","312.21","300.28","61589","18353","4","6370","327484","26447","64154","1245","52303","1092715","28","29","8.6","13.4","-4.2","14.1","40250","44.4032258064516","0.777031514373949","0.435584051292326","0.382608695652174","0.372149869765578","0.0246800240432779","0.131229813664596","3.12755184535514","176244354.83871"
"2018","350624","诏安县","1.84400953898513","278.58","47.93","120.34","110.31","102.46","17.88","62.54","28.96","33.58",,,"71244","21901",,"8449","370069","29531","75103","3150","58390","1227486",,,"9.5","10","8.1","12.3","44544.2916533419","46.3063639270867","0.66193177506825","0.431976452006605","0.395972431617489","0.367793811472468","0.025573982339005","0.132841194629909","2.94852820432544","196272145.826671"
"2019","350624","诏安县","1.92439405968921","284.87","51.66","138.21","95.01","123.57","14.64","62.8","29.52","33.28",,,"63580","23694","7531","1611","282448","25437","61876","1435","51503","1055675",,,"9.4","9.5","9","9.6","45361.4649681529","47.0063694267516","0.675534124228318","0.485168673429986","0.333520553234809","0.433776810474953","0.0223189525046512","0.0991497876224243","3.06432175109747","168101114.649682"
"2020","350624","诏安县","1.99954455442468","287.63","56.28","135.37","95.99","121.28","14.09","56","25.65","30.35",,,"69212","22098","9431","1547","328351","31838","66808","974","58343","995793",,,"1.7","9","-24.2","-5.7","51362.5","45.8035714285714","0.695179416063929","0.470639363070612","0.33372735806418","0.421652817856274","0.0240628585335327","0.114157424468936","3.57061527575836","177820178.571429"
"2021","350624","诏安县","2.24448729715431","328.27","62.14","164.91","101.22","148.6","16.31","56.07","27.03","29.04","67.14","26.44","77643","20166","8329","1593","289683","28325","68998","1207","31598","108.5","-5.5","-43.3","12.3","10.1","22","9","58546.4597824148","48.2075976457999","0.683732079432878","0.502360861485972","0.308343741432358","0.452676150729582","0.0236521765619764","0.088245346818168","4.00300926904639","19350.8114856429"
"2013","350625","长泰县","1.90445211781798","149.51","16.1","91.43","88.63","2.8","41.98","21.5","10.8","10.7","201.9","175.12",,,,,,,,,,"229577","32","32.6",,,,"13.2","69539.5348837209","50.2325581395349","1.27379581152965","0.611531001270818","0.592803156979466","0.0187278442913517",,,"8.85791682706037","106780000"
"2014","350625","长泰县","2.02125996696662","167.15","15.87","104.32","46.96","99.89","4.43","21.68","11.01","10.66","238.28","207.06",,,,,,,,,,"224553","18","18.2",,,,"15.3","77098.7084870849","50.7841328413284","1.20924915762287","0.624110080765779","0.280945258749626","0.597606939874364",,,"9.32315482918183","103576107.01107"
"2015","350625","长泰县","1.93704308912335","186.36","16.82","114.31","55.24","109.02","5.29","21.9","11.43","10.47","280.08","252.64","131392","15826","18295","11022","237603","16878","37877","2591","52617","264030","17.5","22","114.66","57.41","57.25","19.4","85095.8904109589","52.1917808219178","1.03940925580776","0.613382700150247","0.296415539815411","0.584996780424984","0.0705044000858553","0.127496780424984","8.84494561243539","120561643.835616"
"2016","350625","长泰县","1.80072324385654","209.15","16.36","127.79","65","122.2","5.59","22.31","11.94","10.37","229.72","213.34","117901","29113","11525","11224","222106","17671","44753","2858","36995","305957","-18","-15.6",,,,"17","93747.1985656656","53.5186015239803","0.860972146237887","0.610996892182644","0.310781735596462","0.584269662921348","0.0563715037054745","0.106194597179058","8.07137267528705","137138951.142985"
"2017","350625","长泰县","1.76821043721039","241.5","13.8","150.11","77.59","143.52","6.59","22.5","12.17","10.33","270.16","245.88","127488","45411","80","12161","236359","19935","43620","2591","24360","350282","17.6","15.3","9.5","6.4","11.9","14.4","107333.333333333","54.0888888888889","0.732178234869727","0.621573498964803","0.32128364389234","0.594285714285714","0.0527900621118012","0.0978712215320911","7.8587130542684","155680888.888889"
"2018","350625","长泰县","1.86455960976398","284.99","14.71","180.76","89.52","170.97","9.78","22.73","12.68","10.05",,,"137024","48840","-16","14613","206077","19800","46678","3890","21205","404561",,,"8.8","7.4","10.2","15.5","125380.55433348","55.7853057633084","0.654254398317127","0.634267869048037","0.314116284781922","0.599915786518825","0.04808028351872","0.0723102565002281","8.20307791361188","177985481.742191"
"2019","350625","长泰县","1.97824879608339","357.74","18.14","247.81","91.79","208.84","38.97","22.87","12.88","9.99",,,"127798","54095","14920","4153","225755","22294","46339","10847","27215","894321",,,"8.4","11","6.2","10.9","156423.261915173","56.3183209444687","0.552985071863194","0.692709789232403","0.256582993235311","0.58377592665064","0.035723709956952","0.0631058869570079","8.6499728731237","391045474.420638"
"2020","350625","长泰县","2.01884655380124","344.54","19.76","225.65","99.13","185.08","40.71","22.9","13.61","9.29",,,"112015","49474","10581","2973","237296","20956","52672","2822","23976","866061",,,"-13.1","-14.6","-11.8","-3.2","150454.148471616","59.4323144104803","0.585954186393812","0.654931212631334","0.287716955941255","0.537180008126778","0.0325114645614442","0.0688732803157834","8.81592381572594","378192576.419214"
"2021","350625","长泰县","1.88806281739303","375.23","22.29","256.6","96.33","210.22","46.51","23.05","14.06","8.99","155.37","64.26","134889","57980","12088","6162","244650","25496","70085","2109","23918","99.3","15.1","-8.9","10.1","36.3","-28.2","14.7","162789.587852495","60.997830802603","0.503174804091632","0.683847240359246","0.256722543506649","0.560243050928764","0.0359483516776377","0.0652000106601285","8.19116189758364","43080.2603036876"
"2013","350626","东山县","1.85490694087139","126.8","28.8","59.97","52.9","7.07","38.03","21.7","11.6","10.1","117.43","82.94",,,,,,,,,,"351217","35.4","22.1",,,,"10.6","58433.1797235023","53.4562211981567","1.46286036346324","0.47294952681388","0.417192429022082","0.0557570977917981",,,"8.54795825286355","161851152.073733"
"2014","350626","东山县","1.90540866127931","139.5","27.79","67.74","43.98","59.71","8.03","21.77","11.87","9.91","130.01","109.14",,,,,,,,,,"319179","10.7","31.6",,,,"10.7","64079.0078089113","54.5245751033532","1.36588434500309","0.485591397849462","0.315268817204301","0.428028673835125",,,"8.75245136095227","146614147.909968"
"2015","350626","东山县","1.79268166960459","156.3","30.86","74.28","51.16","64.99","9.29","21.9","12.15","9.75","160.19","143.68","113099","20129","14061","6588","276915","13771","33459","1952","76512","345825","23.2","31.6","65.72","52.48","13.24","9.2","71369.8630136986","55.4794520547945","1.14694924478861","0.475239923224568","0.327319257837492","0.415802943058221","0.072360204734485","0.177168905950096","8.18576104842279","157910958.90411"
"2016","350626","东山县","2.20475119629534","175.9","33.66","82.37","59.87","72.38","9.98","22.09","12.53","9.56","176.12","166.79","116989","31625","6324","7652","268947","15704","35230","1913","65490","386382","9.9","16.1",,,,"10.9","79628.7913082843","56.7224988682662","1.25341170909343","0.468277430358158","0.340363843092666","0.41148379761228","0.0665088118249005","0.152897669130188","9.98076594067605","174912630.149389"
"2017","350626","东山县","2.02685384480078","202.7","34.08","94.92","73.7","84.37","10.55","22.3","12.93","9.37","223.94","214.6","114020","40390","-82","9081","279392","18698","36848","1639","37268","443105","27.2","28.7","8.6","12.8","-14","13.7","90896.8609865471","57.982062780269","0.999927895806996","0.468278243709916","0.363591514553527","0.416230883078441","0.056250616674889","0.13783522446966","9.0890306941739","198701793.721973"
"2018","350626","东山县","2.33347994087184","230.7","38.04","107.11","85.56","94.6","12.51","22.46","13.27","9.19",,,"110807","41191","14","10259","213402","29805","40914","554","33745","499247",,,"9.6","9.2","11.8","12.7","102715.939447907","59.0828138913624","1.01147808446981","0.464282618118769","0.370871261378414","0.410056350238405","0.0480307758994365","0.0925019505851756","10.3894921677286","222282724.844167"
"2019","350626","东山县","2.10817389044331","257.68","38.03","132.3","87.35","105.21","27.09","22.6","13.58","9.02",,,"104443","34530","8344","2328","229187","32336","37734","1844","39629","872445",,,"9.5","10.6","4.1","12.1","114017.699115044","60.0884955752212","0.818136405791412","0.513427506985408","0.338986339646073","0.40829711269792","0.0405320552623409","0.08894248680534","9.32820305505889","386037610.619469"
"2020","350626","东山县","2.12257074950508","198.25","38.03","70.83","89.39","51.04","19.86","22","14.12","7.88",,,"104685","31239","9205","1945","217493","34321","43536","646","24917","827428",,,"-56.5","-65","-2.7","-5.2","90113.6363636364","64.1818181818182","1.07065359369739","0.357276166456494","0.450895334174023","0.257452711223203","0.0528045397225725","0.109706431273644","9.64804886138673","376103636.363636"
"2021","350626","东山县","2.33782695100256","204.4","41.62","71.94","90.84","50.81","21.19","22.08","14.48","7.6","79.3","21.95","113640","35704","18838","1745","218450","14761","43912","799","8609","86.63","26.9","-12.4","-5","-2.9","-9.6","4.7","92572.463768116","65.5797101449275","1.14375095450223","0.351956947162427","0.444422700587084","0.248581213307241","0.0555968688845401","0.106873776908023","10.5879843795406","39234.6014492754"
"2013","350627","南靖县","1.7906439181272","173.19","41.54","83.74","76.28","7.46","47.91","33.7","15.7","18","136.62","126.45",,,,,,,,,,"395688","30.7","31.3",,,,"5.9","51391.6913946588","46.5875370919881","1.03391877021029","0.483515214504302","0.440441134014666","0.0430740804896357",,,"5.31348343657923","117414836.795252"
"2014","350627","南靖县","1.81649006123112","195.46","46.78","94.49","54.18","85.64","8.86","33.89","16.1","17.79","171.01","154.82",,,,,,,,,,"354902","25.2","22.4",,,,"10","57674.8303334317","47.506639126586","0.929341072972025","0.483423718407858","0.277192264401924","0.438145912207101",,,"5.35995887055509","104721746.827973"
"2015","350627","南靖县","1.82993675055573","212.21","44.57","104.15","63.49","93.91","10.24","34.2","16.57","17.63","206.39","188.46","83526","6752","13057","4009","220356","12175","42409","2134","40882","381034","20.7","21.7","102.55","50.85","51.7","9.3","62049.7076023392","48.4502923976608","0.862323524129744","0.490787427548183","0.299184769803497","0.442533339616418","0.0393600678573112","0.103838650393478","5.35069225308693","111413450.292398"
