"distcode","county_cn","county_en","province_cn","year","month_count","co2_million_tons","co2_10000_tons"
"350181","福清市","Fuqing City","福建省","2015","12","3.13035310487535","313.035310487534"
"350181","福清市","Fuqing City","福建省","2016","12","2.66175172996889","266.175172996889"
"350181","福清市","Fuqing City","福建省","2017","12","2.95171735223986","295.171735223986"
"350181","福清市","Fuqing City","福建省","2018","12","3.15594036820037","315.594036820037"
"350181","福清市","Fuqing City","福建省","2019","12","3.29585999149467","329.585999149468"
"350181","福清市","Fuqing City","福建省","2020","12","3.05078033240921","305.078033240921"
"350181","福清市","Fuqing City","福建省","2021","12","3.43304262492256","343.304262492257"
"350182","长乐市","Changle City","福建省","2013","12","2.89246737747337","289.246737747337"
"350182","长乐市","Changle City","福建省","2014","12","3.13992329654511","313.992329654511"
"350182","长乐市","Changle City","福建省","2015","12","3.13613790892789","313.613790892789"
"350182","长乐市","Changle City","福建省","2016","12","3.07246385700997","307.246385700997"
"350182","长乐市","Changle City","福建省","2017","12","3.1561669278669","315.616692786691"
"350182","长乐市","Changle City","福建省","2018","12","3.2730987691807","327.30987691807"
"350182","长乐市","Changle City","福建省","2019","12","3.47357201275547","347.357201275547"
"350182","长乐市","Changle City","福建省","2020","12","3.4859164657976","348.59164657976"
"350182","长乐市","Changle City","福建省","2021","12","3.830556786275","383.0556786275"
"350203","思明区","Siming District","福建省","2013","12","2.47000090071573","247.000090071573"
"350203","思明区","Siming District","福建省","2014","12","2.55906002599339","255.906002599339"
"350203","思明区","Siming District","福建省","2015","12","2.21537080184094","221.537080184093"
"350203","思明区","Siming District","福建省","2016","12","2.77112438224398","277.112438224398"
"350203","思明区","Siming District","福建省","2017","12","2.57547336239587","257.547336239587"
"350203","思明区","Siming District","福建省","2018","12","2.70369478795217","270.369478795217"
"350203","思明区","Siming District","福建省","2019","12","2.87827959579385","287.827959579385"
"350203","思明区","Siming District","福建省","2020","12","2.95181496117325","295.181496117325"
"350203","思明区","Siming District","福建省","2021","12","3.31841124728264","331.841124728264"
"350205","海沧区","Haicang District","福建省","2013","12","2.31835225450631","231.835225450631"
"350205","海沧区","Haicang District","福建省","2014","12","2.50068778207674","250.068778207674"
"350205","海沧区","Haicang District","福建省","2015","12","2.46033452238019","246.033452238019"
"350205","海沧区","Haicang District","福建省","2016","12","2.53106297687219","253.106297687219"
"350205","海沧区","Haicang District","福建省","2017","12","2.57503101998575","257.503101998575"
"350205","海沧区","Haicang District","福建省","2018","12","2.59400482270452","259.400482270452"
"350205","海沧区","Haicang District","福建省","2019","12","2.76893037998059","276.893037998059"
"350205","海沧区","Haicang District","福建省","2020","12","2.75227442385922","275.227442385922"
"350205","海沧区","Haicang District","福建省","2021","12","3.03188132434043","303.188132434043"
"350206","湖里区","Huli District","福建省","2013","12","2.44479433449028","244.479433449028"
"350206","湖里区","Huli District","福建省","2014","12","2.6408756845113","264.08756845113"
"350206","湖里区","Huli District","福建省","2015","12","2.58340440102715","258.340440102715"
"350206","湖里区","Huli District","福建省","2016","12","2.43874788772791","243.874788772791"
"350206","湖里区","Huli District","福建省","2017","12","2.83522271079521","283.522271079521"
"350206","湖里区","Huli District","福建省","2018","12","2.99162050103386","299.162050103386"
"350206","湖里区","Huli District","福建省","2019","12","3.0712901932549","307.12901932549"
"350206","湖里区","Huli District","福建省","2020","12","2.99502338222204","299.502338222204"
"350206","湖里区","Huli District","福建省","2021","12","3.4449274270149","344.49274270149"
"350211","集美区","Jimei District","福建省","2013","12","2.32954887730489","232.954887730489"
"350211","集美区","Jimei District","福建省","2014","12","2.50051113657188","250.051113657188"
"350211","集美区","Jimei District","福建省","2015","12","2.45902542610341","245.902542610341"
"350211","集美区","Jimei District","福建省","2016","12","2.63168940337386","263.168940337386"
"350211","集美区","Jimei District","福建省","2017","12","2.67725532796966","267.725532796966"
"350211","集美区","Jimei District","福建省","2018","12","2.71048701988431","271.048701988431"
"350211","集美区","Jimei District","福建省","2019","12","2.87988432760071","287.988432760071"
"350211","集美区","Jimei District","福建省","2020","12","3.21209495096045","321.209495096045"
"350211","集美区","Jimei District","福建省","2021","12","3.35407000403269","335.407000403269"
"350212","同安区","Tong'an District","福建省","2013","12","2.33115200994622","233.115200994622"
"350212","同安区","Tong'an District","福建省","2014","12","2.57270594554381","257.270594554381"
"350212","同安区","Tong'an District","福建省","2015","12","2.64332318300306","264.332318300306"
"350212","同安区","Tong'an District","福建省","2016","12","2.97325337344861","297.32533734486"
"350212","同安区","Tong'an District","福建省","2017","12","2.76037533214067","276.037533214067"
"350212","同安区","Tong'an District","福建省","2018","12","2.76069718200264","276.069718200264"
"350212","同安区","Tong'an District","福建省","2019","12","2.89985610557556","289.985610557556"
"350212","同安区","Tong'an District","福建省","2020","12","2.94003357608345","294.003357608345"
"350212","同安区","Tong'an District","福建省","2021","12","3.22381098658049","322.381098658049"
"350213","翔安区","Xiang'an District","福建省","2013","12","2.26698674277924","226.698674277924"
"350213","翔安区","Xiang'an District","福建省","2014","12","2.52657677742921","252.657677742921"
"350213","翔安区","Xiang'an District","福建省","2015","12","2.5164999528574","251.64999528574"
"350213","翔安区","Xiang'an District","福建省","2016","12","2.44074677140953","244.074677140953"
"350213","翔安区","Xiang'an District","福建省","2017","12","2.50926137144516","250.926137144516"
"350213","翔安区","Xiang'an District","福建省","2018","12","2.58531754830626","258.531754830626"
"350213","翔安区","Xiang'an District","福建省","2019","12","2.76390345042812","276.390345042812"
"350213","翔安区","Xiang'an District","福建省","2020","12","2.79592376379235","279.592376379235"
"350213","翔安区","Xiang'an District","福建省","2021","12","3.10897457571129","310.897457571129"
"350302","城厢区","Chengxiang District","福建省","2013","12","2.09200628454634","209.200628454634"
"350302","城厢区","Chengxiang District","福建省","2014","12","2.27678448485335","227.678448485335"
"350302","城厢区","Chengxiang District","福建省","2015","12","2.59604676747138","259.604676747138"
"350302","城厢区","Chengxiang District","福建省","2016","12","2.76691218643636","276.691218643636"
"350302","城厢区","Chengxiang District","福建省","2017","12","2.82992020217739","282.992020217739"
"350302","城厢区","Chengxiang District","福建省","2018","12","2.97242349462468","297.242349462468"
"350302","城厢区","Chengxiang District","福建省","2019","12","3.15107154618278","315.107154618278"
"350302","城厢区","Chengxiang District","福建省","2020","12","3.30467836482739","330.467836482739"
"350302","城厢区","Chengxiang District","福建省","2021","12","3.68845560979952","368.845560979952"
"350303","涵江区","Hanjiang District","福建省","2013","12","2.21204027240247","221.204027240247"
"350303","涵江区","Hanjiang District","福建省","2014","12","2.30080069802987","230.080069802987"
"350303","涵江区","Hanjiang District","福建省","2015","12","2.36775106159765","236.775106159765"
"350303","涵江区","Hanjiang District","福建省","2016","12","2.41491294306241","241.491294306241"
"350303","涵江区","Hanjiang District","福建省","2017","12","2.44655948673374","244.655948673374"
"350303","涵江区","Hanjiang District","福建省","2018","12","2.70520734160192","270.520734160192"
"350303","涵江区","Hanjiang District","福建省","2019","12","2.80295919496944","280.295919496944"
"350303","涵江区","Hanjiang District","福建省","2020","12","2.63898568576956","263.898568576956"
"350303","涵江区","Hanjiang District","福建省","2021","12","2.99560332367822","299.560332367822"
"350304","荔城区","Licheng District","福建省","2013","12","2.07756640918083","207.756640918083"
"350304","荔城区","Licheng District","福建省","2014","12","2.25538937251628","225.538937251628"
"350304","荔城区","Licheng District","福建省","2015","12","2.37196809950472","237.196809950472"
"350304","荔城区","Licheng District","福建省","2016","12","2.8269790613885","282.69790613885"
"350304","荔城区","Licheng District","福建省","2017","12","2.82824020916636","282.824020916636"
"350304","荔城区","Licheng District","福建省","2018","12","2.88224544439915","288.224544439915"
"350304","荔城区","Licheng District","福建省","2019","12","2.92159812876134","292.159812876134"
"350304","荔城区","Licheng District","福建省","2020","12","3.08126271557597","308.126271557597"
"350304","荔城区","Licheng District","福建省","2021","12","3.23356465363083","323.356465363083"
"350305","秀屿区","Xiuyu District","福建省","2013","12","2.15298361743394","215.298361743394"
"350305","秀屿区","Xiuyu District","福建省","2014","12","2.3102101864504","231.02101864504"
"350305","秀屿区","Xiuyu District","福建省","2015","12","2.32039027589643","232.039027589643"
"350305","秀屿区","Xiuyu District","福建省","2016","12","2.67977561193314","267.977561193314"
"350305","秀屿区","Xiuyu District","福建省","2017","12","2.8102085651437","281.02085651437"
"350305","秀屿区","Xiuyu District","福建省","2018","12","2.23611667719408","223.611667719408"
"350305","秀屿区","Xiuyu District","福建省","2019","12","2.44370104767615","244.370104767615"
"350305","秀屿区","Xiuyu District","福建省","2020","12","2.31141305807255","231.141305807255"
