"year","county_cn","official_area_cn","source_title","source_url","variable_group","gdp_100m_yuan","primary_industry_100m_yuan","secondary_industry_100m_yuan","tertiary_industry_100m_yuan","industry_100m_yuan","construction_100m_yuan","per_capita_gdp_yuan","resident_population_10k","urban_population_10k","rural_population_10k","urbanization_rate_pct","fixed_asset_investment_100m_yuan","fixed_asset_investment_growth_pct","real_estate_development_100m_yuan","real_estate_development_growth_pct","budget_revenue_10k_yuan","vat_10k_yuan","enterprise_income_tax_10k_yuan","individual_income_tax_10k_yuan","budget_expenditure_10k_yuan","general_public_service_exp_10k_yuan","education_exp_10k_yuan","science_technology_exp_10k_yuan","agri_forestry_water_exp_10k_yuan","industrial_va_growth_pct","light_industry_growth_pct","heavy_industry_growth_pct","retail_sales_100m_yuan","retail_sales_growth_pct"
"2020","诏安县","诏安县","21-10 一般公共预算支出（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2110.htm","budget_expenditure",,,,,,,,,,,,,,,,,,,,"328351","31838","66808","974","58343",,,,,
"2020","诏安县","诏安县","21-9 地方一般公共预算收入（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2109.htm","budget_revenue",,,,,,,,,,,,,,,,"69212","22098","9431","1547",,,,,,,,,,
"2020","诏安县","诏安县","21-1 地区生产总值（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2101.htm","gdp","287.63","56.28","135.37","95.99","121.28","14.09","50909",,,,,,,,,,,,,,,,,,,,,,
"2020","诏安县","诏安县","21-14 规模以上工业增加值增速（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2114.htm","industrial_va_growth",,,,,,,,,,,,,,,,,,,,,,,,,"1.7","9","-24.2",,
"2020","诏安县","诏安县","21-4 年末常住人口数（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2104.htm","population",,,,,,,,"56","25.65","30.35","45.8",,,,,,,,,,,,,,,,,,
"2020","诏安县","诏安县","21-19 社会消费品零售总额（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2119.htm","retail_sales",,,,,,,,,,,,,,,,,,,,,,,,,,,,"995793","-5.7"
"2020","柘荣县","柘荣县","21-10 一般公共预算支出（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2110.htm","budget_expenditure",,,,,,,,,,,,,,,,,,,,"149401","15367","26207","6134","26195",,,,,
"2020","柘荣县","柘荣县","21-9 地方一般公共预算收入（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2109.htm","budget_revenue",,,,,,,,,,,,,,,,"27151","13981","1652","438",,,,,,,,,,
"2020","柘荣县","柘荣县","21-1 地区生产总值（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2101.htm","gdp","75.23","8.91","32.15","34.17","22.06","10.11","81327",,,,,,,,,,,,,,,,,,,,,,
"2020","柘荣县","柘荣县","21-14 规模以上工业增加值增速（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2114.htm","industrial_va_growth",,,,,,,,,,,,,,,,,,,,,,,,,"-7","-11.9","-0.2",,
"2020","柘荣县","柘荣县","21-4 年末常住人口数（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2104.htm","population",,,,,,,,"9.3","5.86","3.44","63",,,,,,,,,,,,,,,,,,
"2020","柘荣县","柘荣县","21-19 社会消费品零售总额（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2119.htm","retail_sales",,,,,,,,,,,,,,,,,,,,,,,,,,,,"343734","1.2"
