"distcode","county_cn","county_en","city_cn","city_en","province_cn","province_en","sequestration_mt_2000","sequestration_mt_2001","sequestration_mt_2002","sequestration_mt_2003","sequestration_mt_2004","sequestration_mt_2005","sequestration_mt_2006","sequestration_mt_2007","sequestration_mt_2008","sequestration_mt_2009","sequestration_mt_2010","sequestration_mt_2011","sequestration_mt_2012","sequestration_mt_2013","sequestration_mt_2014","sequestration_mt_2015","sequestration_mt_2016","sequestration_mt_2017"
"350212","同安区","Tong'an District","厦门市","Xiamen City","福建省","Fujian Province","2.12557095753386","2.39924195056931","2.36615161055473","2.59690144761203","2.40976237411395","2.3056270097411","2.26826566060777","2.31542636212692","2.34277362354565","2.41498020562581","2.26108482283752","2.31041507882635","2.32753352380957","2.40695679814528","2.23888485505739","2.2580499953627","2.14850018766592","2.32037294993387"
"350213","翔安区","Xiang'an District","厦门市","Xiamen City","福建省","Fujian Province","1.15660617332281","1.31821630138754","1.32071361018935","1.4657142035441","1.30924436219618","1.25685652575972","1.2437719530537","1.26012637363821","1.26206501783546","1.2589317364949","1.22323010246313","1.2361086442467","1.23810231943532","1.27528176530393","1.19210945927593","1.24514580980994","1.16148303892875","1.21478453541785"
"350302","城厢区","Chengxiang District","莆田市","Putian City","福建省","Fujian Province","1.46628859058029","1.69655473013417","1.74355449341795","1.90021749801382","1.77762315300745","1.70117915788505","1.66279851941129","1.72316526188002","1.73037352982539","1.81755819964194","1.62086215802193","1.70764422459628","1.69106376730369","1.74184521676264","1.70839700242089","1.64588491070512","1.62431350150924","1.73950833475628"
"350303","涵江区","Hanjiang District","莆田市","Putian City","福建省","Fujian Province","2.40365340455733","2.77187055841137","2.75970568208049","2.98489283159424","2.78896222943705","2.65123415095702","2.55480829560191","2.68888087802274","2.70378165990282","2.78250296624302","2.49791380446054","2.64812238169992","2.57749712373851","2.7368236402004","2.59766144198848","2.52883477722302","2.46345625652991","2.62492132029407"
"350304","荔城区","Licheng District","莆田市","Putian City","福建省","Fujian Province","0.9347633399007","1.05118465298826","1.09210747812351","1.1470538065099","1.0788886613702","1.04072440280037","0.998053863273681","1.0363863466","1.03474406832771","1.05768661050769","0.955242968393383","0.993673669741888","0.999606822780489","1.03527257932001","0.999086204528058","0.970654570164647","0.949350442395725","1.00530225132919"
"350305","秀屿区","Xiuyu District","莆田市","Putian City","福建省","Fujian Province","3.47070250065539","3.83970717317558","4.00546259889324","3.99622294159161","3.74069540525473","3.76562994828425","3.4794656291418","3.68716693096419","3.76907830807824","3.61221981335208","3.32844402296116","3.4368528756206","3.5721095408379","3.71893276855623","3.44436877441706","3.44650363418676","3.53884491684427","3.53258596190605"
"350322","仙游县","Xianyou County","莆田市","Putian City","福建省","Fujian Province","5.63998317276628","6.50357419298364","6.41544249892286","6.9911339211326","6.48457601501966","6.15325579498144","5.99530747365714","6.16389571730435","6.20187747017634","6.46840289817994","5.83134065010401","6.08711952257866","6.10507139894634","6.31175215928437","6.04244416524895","5.87727143705812","5.76421509186614","6.15414636195434"
"350402","梅列区","Melie district","三明市","Sanming City","福建省","Fujian Province","0.776020493368745","0.880932619263513","0.787200765054035","0.853095072426707","0.905911047350817","0.747408167700552","0.733170173515936","0.817210282106383","0.775084364354298","0.799440466901546","0.727148876561387","0.735131913981898","0.824891141394425","0.797013345572738","0.741485071590452","0.703630436609479","0.698933848686624","0.806581261963811"
"350403","三元区","Sanyuan District","三明市","Sanming City","福建省","Fujian Province","1.82744181951488","2.02540679031091","1.83441383358374","1.9952128299688","2.0855545219856","1.73535604966377","1.74043021284803","1.88811907524756","1.83100926670167","1.87734302955347","1.69014036145479","1.70090051482423","1.9178859971017","1.85543923491096","1.74234154972534","1.66167707494346","1.65620043773927","1.87824891525908"
"350421","明溪县","Mingxi County","三明市","Sanming City","福建省","Fujian Province","3.73035690488734","4.23848991369364","3.72628326279266","4.08221936927025","4.33483076957088","3.59718247136962","3.57752970893073","4.09824153144551","3.75118197930543","3.77477369296444","3.49577888070187","3.47868967364404","3.95023065968967","3.85433804936024","3.56516714039027","3.46243995057401","3.3656184224802","3.73282239311015"
