"year","unit_id","county_cn","co2_million_tons","gdp_100m_yuan","resident_population_10k","per_capita_gdp_yuan","urbanization_rate_pct","secondary_industry_share","tertiary_industry_share","industry_share","retail_sales_100m_yuan","retail_per_capita_yuan","co2_ton_per_10000_yuan","co2_per_capita_ton"
"2017","350426","尤溪县","2.44193418497755","220.06","36.1","60958.4487534626","44.792243767313","0.449877306189221","0.3630827956012","0.347496137417068","494041","136853462.603878","1.10966744750411","6.76436062320651"
"2018","350426","尤溪县","2.50513066726297","246.44","36.2","68077.3480662983","46.4088397790055","0.448425580262944","0.371246550884597","0.346981009576368","524682","144939779.005525","1.01652762021708","6.9202504620524"
"2019","350426","尤溪县","2.75164058585742","215.05","36.3","59242.4242424242","47.3829201101928","0.392699372239014","0.373959544292025","0.331969309462916","655118","180473278.236915","1.27953526429083","7.58027709602595"
"2020","350426","尤溪县","2.889407865719","223.87","34.2","65459.0643274854","48.8011695906433","0.377317193013803","0.389824451690713","0.314914905972216","644089","188330116.959064","1.290663271416","8.44856101087427"
"2021","350426","尤溪县","3.16280224069042","248.02","34.22","72478.0829924021","50.2922267679719","0.370937827594549","0.411861946617208","0.306104346423676","71.39","20862.0689655172","1.27522064377486","9.24255476531391"
"2013","350427","沙县","2.34995014502196","163.81","22.8","71846.4912280702","59.2105263157895","0.535559489652646","0.471155607105793","0.0644038825468531","427418","187464035.087719","1.43455841830289","10.3067988816753"
"2014","350427","沙县","2.69449446641627","179.96","22.8","78929.8245614035","60.6140350877193","0.543454100911314","0.311902645032229","0.469326517003779","433938","190323684.210526","1.49727409780855","11.8179581860363"
"2015","350427","沙县","2.8373813625228","191.16","23","83113.0434782609","61.7826086956522","0.537403222431471","0.320883029922578","0.456267001464742","476312","207092173.913043","1.48429659056434","12.3364407066209"
"2016","350427","沙县","2.86264280494924","205.9","23.07","89250.1083658431","63.0255743389683","0.533948518698397","0.32491500728509","0.453278290432249","507687","220063719.115735","1.39030733606083","12.4085080405255"
"2017","350427","沙县","2.93938945796613","228.01","23.2","98280.1724137931","64.4827586206897","0.55326520766633","0.33669575895794","0.472523134950221","546105","235390086.206897","1.28914936097808","12.6697821464057"
"2018","350427","沙县","2.89165749870697","254.21","23.3","109103.004291845","65.6652360515021","0.555760985012391","0.335549348963455","0.473742181660832","598091","256691416.309013","1.13750737528302","12.4105472047509"
"2019","350427","沙县","2.88495727634508","314.04","23.4","134205.128205128","66.2393162393163","0.608139090561712","0.291841803591899","0.444306457776079","948211","405218376.068376","0.918659176011043","12.3288772493379"
"2020","350427","沙县","3.43627944548727","323.87","25.1","129031.87250996","70.199203187251","0.587766696514033","0.312131410751227","0.42174329206163","951798","379202390.438247","1.06100578796655","13.690356356523"
"2021","350427","沙县","3.68856490878879","354.44","25.02","141662.669864109","70.4236610711431","0.58272204040176","0.323947635707031","0.414964450964902","104.62","41814.548361311","1.04067399525697","14.7424656626251"
"2013","350428","将乐县","2.38730967071511","88.27","14.9","59241.610738255","49.6644295302013","0.538801404780786","0.406480117820324","0.132321286960462","180397","121071812.080537","2.70455383563511","16.022212555135"
"2014","350428","将乐县","2.95990610119265","96.95","14.9","65067.1140939597","50.8053691275168","0.546157813305828","0.2867457452295","0.392882929345023","187633","125928187.919463","3.05302331221521","19.8651416187426"
"2015","350428","将乐县","2.91894688077527","101.88","15","67920","52","0.529839026305457","0.306733411857087","0.380840204161759","204304","136202666.666667","2.86508331446336","19.4596458718351"
"2016","350428","将乐县","3.01406794874527","108.64","15.12","71851.8518518519","53.1746031746032","0.524576583210604","0.310935198821797","0.372882916053019","226209","149609126.984127","2.77436298669484","19.9343118303259"
"2017","350428","将乐县","3.12500908782954","121.22","15.2","79750","54.8026315789474","0.548259363141396","0.318841775284606","0.397294175878568","252576","166168421.052632","2.57796492973894","20.559270314668"
"2018","350428","将乐县","3.09898408921128","137.81","15.3","90071.8954248366","55.5555555555556","0.546767288295479","0.321094260213337","0.394238444234816","288470","188542483.660131","2.24873673115977","20.2547979687012"
"2019","350428","将乐县","3.33784008030531","157.96","15.4","102571.428571429","56.4935064935065","0.512281590276019","0.363383134970879","0.376930868574323","513835","333659090.909091","2.11309197284459","21.6742862357488"
"2020","350428","将乐县","3.4207523252305","165.31","14.5","114006.896551724","58.6896551724138","0.493981005383824","0.382191035025104","0.35545339059948","528242","364304827.586207","2.0692954601842","23.5913953464172"
"2021","350428","将乐县","3.81558742454964","180.48","14.34","125857.740585774","59.3444909344491","0.493849734042553","0.38779920212766","0.350786790780142","58.26","40627.6150627615","2.11413310314142","26.6080015658971"
"2013","350429","泰宁县","2.82051770856681","70.1","11.1","63153.1531531532","45.045045045045","0.454493580599144","0.346647646219686","0.107845934379458","173750","156531531.531532","4.02356306500258","25.4100694465478"
"2014","350429","泰宁县","3.0552736602324","76.93","11.1","69306.3063063063","46.3063063063063","0.461068503834655","0.352528272455479","0.342389184973352","176099","158647747.747748","3.97149832345301","27.5249879300216"
"2015","350429","泰宁县","2.89355388622973","82.98","11.2","74089.2857142857","47.5","0.441793203181489","0.368161002651241","0.319354061219571","199543","178163392.857143","3.48704975443448","25.8353025556226"
"2016","350429","泰宁县","2.45245827666114","90.27","11.31","79814.3236074271","48.8063660477454","0.42960008862302","0.382851445663011","0.311842251024704","220530","194986737.400531","2.71680323104148","21.6839812260048"
"2017","350429","泰宁县","2.47391720179718","94.45","11.4","82850.8771929824","50.4385964912281","0.456643726839598","0.419481206987824","0.332874536791953","240117","210628947.368421","2.61928766733423","21.7010280859402"
"2018","350429","泰宁县","2.53582464352881","105.15","11.5","91434.7826086957","51.304347826087","0.456490727532097","0.417593913456966","0.329339039467427","264518","230015652.173913","2.41162590920476","22.0506490741636"
"2019","350429","泰宁县","2.72089093363928","99.51","11.6","85784.4827586207","52.3275862068966","0.499949753793589","0.354336247613305","0.305496934981409","312017","268980172.413793","2.73428894949179","23.4559563244766"
"2020","350429","泰宁县","2.88692856677325","103.07","10.5","98161.9047619048","58.0952380952381","0.487144658969632","0.368293392839818","0.288250703405453","304180","289695238.095238","2.80093971744761","27.4945577787929"
"2021","350429","泰宁县","3.08706239618164","102.16","10.26","99571.1500974659","59.4541910331384","0.448414252153485","0.400548159749413","0.22288566953798","30.08","29317.738791423","3.0217916955576","30.0883274481641"
"2013","350430","建宁县","2.93320923715839","66.9","12.1","55289.2561983471","38.0165289256198","0.510014947683109","0.266666666666667","0.243348281016442","142763","117985950.413223","4.38446821697816","24.2413986542016"
"2014","350430","建宁县","3.00115011430365","74.14","12.1","61272.7272727273","40.0826446280992","0.514567035338549","0.252765039115187","0.261667116266523","162687","134452066.115702","4.04794997882877","24.8028935066417"
"2015","350430","建宁县","3.02267796671157","80.09","12.2","65647.5409836066","41.7213114754098","0.510925209139718","0.268198276938444","0.253215132975403","186256","152668852.459016","3.7741015940961","24.7760489074719"
"2016","350430","建宁县","2.8316857416459","87.55","12.25","71469.387755102","42.9387755102041","0.492061679040548","0.289548829240434","0.247058823529412","215808","176169795.918367","3.23436406812781","23.1158019726196"
"2017","350430","建宁县","3.00141284985421","95.31","12.3","77487.8048780488","44.390243902439","0.510649459657958","0.330395551358724","0.267443080474242","241212","196107317.073171","3.1491059173793","24.4017304866196"
"2018","350430","建宁县","3.07402252768206","107.87","12.1","89148.7603305785","46.2809917355372","0.513766570872346","0.329377954945768","0.26995457495133","272714","225383471.07438","2.84974740676931","25.4051448568765"
"2019","350430","建宁县","3.21098734350458","132.97","12.1","109892.561983471","47.1074380165289","0.582763029254719","0.277656614273896","0.304128750846056","360840","298214876.033058","2.41482089456613","26.5370854835089"
"2020","350430","建宁县","3.39288871957555","140.29","11.5","121991.304347826","49.5652173913044","0.564687433174139","0.300449069784019","0.283484211276641","359870","312930434.782609","2.41848222936457","29.5033801702222"
"2021","350430","建宁县","3.48948725984934","151.18","11.38","132847.100175747","50.0878734622144","0.57262865458394","0.297658420425982","0.282643206773383","39.71","34894.5518453427","2.3081672574741","30.663332687604"
"2013","350481","永安市","2.23422467503988","270.16","34.8","77632.183908046","63.7931034482759","0.590501924785312","0.533165531536867","0.0573363932484454","684614","196728160.91954","0.827000545987518","6.42018584781575"
"2014","350481","永安市","2.39810044804679","297.23","34.8","85410.9195402299","65.0862068965517","0.595229283719678","0.313460956161895","0.53339164956431","724505","208191091.954023","0.806816420969212","6.89109324151376"
"2015","350481","永安市","2.38508902135204","314.58","35","89880","66.3714285714286","0.583126708627376","0.328056456227351","0.519740606522983","800345","228670000","0.758182027259215","6.81454006100583"
"2016","350481","永安市","2.61833266002616","337.24","35.32","95481.3137032842","67.4971687429219","0.572322381686633","0.337623057763017","0.508747479539794","857980","242916194.790487","0.776400385489906","7.41317287663126"
"2017","350481","永安市","2.86010268288781","380.52","35.5","107188.732394366","69.2112676056338","0.586933669715127","0.339141175233891","0.525176074844949","958987","270137183.098592","0.75163005436976","8.05662727574031"
"2018","350481","永安市","2.96756339332106","427.76","35.7","119820.728291317","70.0280112044818","0.592411632691229","0.331377407892276","0.530671404525902","1075069","301139775.910364","0.693744948878123","8.31250250229989"
"2019","350481","永安市","3.05804555844928","431.65","35.8","120572.625698324","70.391061452514","0.613761149079115","0.30302328275223","0.511224371597359","1256195","350892458.100559","0.70845489596879","8.542026699579"
"2020","350481","永安市","3.08636917973366","446.26","34.5","129350.724637681","72","0.588289338054049","0.327701340025994","0.484157217765428","1281163","371351594.202899","0.691607847383512","8.94599762241641"
"2021","350481","永安市","3.36917854147883","487.99","34.45","141651.669085631","72.133526850508","0.584909526834566","0.335888030492428","0.47816553617902","141.01","40931.7851959361","0.690419586769981","9.77990868353797"
"2013","350502","鲤城区","2.40029049406217","320.17","42","76230.9523809524","100","0.58319018021676","0.535621700971359","0.0475684792454009","2422082","576686190.47619","0.749692505251013","5.71497736681469"
"2014","350502","鲤城区","2.60092322262438","340.19","42.7","79669.7892271663","100","0.580763690878627","0.41891296040448","0.531938034627708","2705073","633506557.377049","0.764550169794638","6.0911550881133"
"2015","350502","鲤城区","2.60067054779363","376.55","43.2","87164.3518518519","100","0.583162926570177","0.41657150444828","0.535758863364759","3336056","772235185.185185","0.690657428706315","6.02007071248525"
"2016","350502","鲤城区","2.56254597231023","410.11","43.7","93846.6819221968","100","0.575333447123942","0.424373948452854","0.528955646046183","3703620","847510297.482837","0.624843571800305","5.86394959338725"
"2017","350502","鲤城区","2.63500238180272","464.96","43.9","105913.439635535","100","0.572629903647626","0.427112009635237","0.5268840330351","4172850","950535307.517084","0.566715928639608","6.00228332984674"
"2018","350502","鲤城区","2.72304768150424","526.77","44.3","118909.706546275","100","0.56028247622302","0.43948972037132","0.515367238073543","4560089","1029365462.75395","0.516932946353103","6.1468344954949"
"2019","350502","鲤城区","2.89544807783231","648.41","44.5","145710.112359551","100","0.527258987369103","0.472447988155642","0.485587822519702","3686149","828348089.88764","0.446545870333941","6.50662489400519"
"2020","350502","鲤城区","2.90420761648202","621.85","42.8","145292.056074766","100","0.48897644126397","0.510685856717858","0.446425986974351","3397741","793864719.626168","0.467027034892984","6.78553181421033"
"2021","350502","鲤城区","3.17937966136628","705.01","42.9","164337.995337995","100","0.493014283485341","0.506772953575127","0.446475936511539","419.74","97841.4918414918","0.450969441762001","7.4111414017862"
"2013","350503","丰泽区","2.34993661988254","413.36","54.8","75430.6569343066","100","0.401877298238823","0.289674859686472","0.112202438552351","2209670","403224452.554745","0.56849637601184","4.28820551073456"
"2014","350503","丰泽区","2.53757671875049","442.25","55.6","79541.3669064748","100","0.394821933295647","0.602193329564726","0.278371961560203","2427675","436632194.244604","0.573787839174786","4.5639869042275"
"2015","350503","丰泽区","2.63989670077691","480.49","56.5","85042.4778761062","100","0.381839372307436","0.615122062894129","0.26641553414223","2124586","376032920.353982","0.549417615512687","4.67238354119807"
"2016","350503","丰泽区","2.89128792329344","518.18","57.1","90749.5621716287","100","0.347427534833456","0.649735613107414","0.233220116561813","2468390","432292469.352014","0.557969802634884","5.06355152941058"
"2017","350503","丰泽区","2.97502705510965","590.96","57.9","102065.630397237","100","0.322238391769325","0.675663327467172","0.210877216732097","2487417","429605699.481865","0.503422745212815","5.13821598464534"
"2018","350503","丰泽区","3.38720785139945","659.97","58.3","113202.401372213","100","0.298089307089716","0.699198448414322","0.187417609891359","2773364","475705660.377358","0.513236639756269","5.80996200926149"
"2019","350503","丰泽区","3.55199113990709","723.85","60.3","120041.459369818","100","0.214602472888029","0.782855563998066","0.125067348207502","5293524","877864676.616916","0.490708177095681","5.89053257032685"
"2020","350503","丰泽区","3.5445244683401","763.92","70.1","108975.7489301","100","0.194732432715468","0.803055293748037","0.109500994868573","5239187","747387589.158345","0.463991578743861","5.05638297908716"
"2021","350503","丰泽区","3.6655210361063","807.48","72","112150","100","0.188512408976074","0.809122207361173","0.114999752315847","559.87","77759.7222222222","0.45394573687352","5.09100143903653"
"2013","350504","洛江区","2.39468625848505","123.79","20.2","61282.1782178218","52.4752475247525","0.737216253332256","0.662816059455529","0.0744001938767267","231668","114687128.712871","1.93447472209795","11.8548824677478"
"2014","350504","洛江区","2.5913386292734","132.89","20.8","63889.4230769231","53.9903846153846","0.741967040409361","0.228685378884792","0.665287079539469","258077","124075480.769231","1.94998768099436","12.4583587945837"
"2015","350504","洛江区","2.6216970356239","141.58","20.9","67741.6267942584","54.9760765550239","0.739723124735132","0.233083768893912","0.661887272213589","278837","133414832.535885","1.85174250291277","12.5440049551383"
"2016","350504","洛江区","2.68043472418438","154.59","21.2","72919.8113207547","56.5094339622642","0.73665825732583","0.235396856200272","0.660456691894689","324635","153129716.981132","1.7338991682414","12.6435600197376"
"2017","350504","洛江区","2.83567257649373","175.95","21.5","81837.2093023256","57.5813953488372","0.727365728900256","0.251832907075874","0.652685421994885","402451","187186511.627907","1.611635451261","13.1891747743894"
"2018","350504","洛江区","3.03757555945933","200.56","21.8","92000","58.5779816513761","0.724122457120064","0.255235341045074","0.647736338252892","517048","237177981.651376","1.51454704799528","13.9338328415566"
"2019","350504","洛江区","3.11334753752805","282.1","21.9","128812.785388128","59.5890410958904","0.650372208436724","0.331194611839773","0.548670684154555","658180","300538812.785388","1.10363259040342","14.2161988014979"
"2020","350504","洛江区","3.24024666438317","284.94","24.8","114895.161290323","58.6693548387097","0.644346178142767","0.336702463676563","0.544395311293606","682666","275268548.387097","1.13716805797121","13.0655107434805"
"2021","350504","洛江区","3.59959217012599","333.13","25.5","130639.215686275","61.4901960784314","0.622789901840123","0.361600576351574","0.538498484075286","85.45","33509.8039215686","1.08053677847267","14.1160477259843"
"2013","350505","泉港区","2.36040690576801","297.88","32.3","92222.9102167183","44.2724458204334","0.711259567611119","0.61111857123674","0.100140996374379","655993","203093808.049536","0.792401942315029","7.30776131816721"
"2014","350505","泉港区","2.56840079068219","344.38","32.4","106290.12345679","46.5123456790123","0.728526627562576","0.241187060804925","0.632702247517277","741000","228703703.703704","0.745804283257503","7.92716293420429"
"2015","350505","泉港区","2.54085833397994","333.4","32.5","102584.615384615","48.2769230769231","0.692261547690462","0.276184763047391","0.585662867426515","702753","216231692.307692","0.762105079178147","7.8180256430152"
"2016","350505","泉港区","2.52989770193232","407.39","32.9","123826.747720365","49.7872340425532","0.723900930312477","0.24762512580083","0.630894229117062","798598","242734954.407295","0.621001424171511","7.6896586684873"
